ordinal,bookmark_id,status_url,author_name,handle,language,is_reply,hashtags,urls,media_count,text
"1","2048252928226648310","https://x.com/XChatScout/status/2048252928226648310","一","XChatScout","zxx","false","","http://x.com/i/article/2048090538658910208","0","https://t.co/igIdJZr8OO"
"2","2048245950813282481","https://x.com/op7418/status/2048245950813282481","歸藏(guizang.ai)","op7418","zh","false","","","1","藏师傅的 PPT Skill 现在有动效了！

给每个版式都搭配了对应的动效，都是为了配合展示，而不是只是图炫酷

本地动效文件让你在断网情况下也可以正常演示 https://t.co/xS4Z1hUfL6"
"3","2048222960251461971","https://x.com/XinXiao80368/status/2048222960251461971","木星","XinXiao80368","zxx","false","","http://x.com/i/article/2048045013045596160","0","https://t.co/WGyUJTZQTo"
"4","2048260006060151284","https://x.com/oran_ge/status/2048260006060151284","Orange AI","oran_ge","zxx","false","","http://x.com/i/article/2048259456082087936","0","https://t.co/H7HYVTNghA"
"5","2048228319683060035","https://x.com/Huanusa/status/2048228319683060035","Huan","Huanusa","zh","false","","","1","耶鲁大学教授本·波拉克（Ben Polak）的一场1小时博弈论讲座，堪称传奇

它能彻底改变你在谈判、商业和生活中的决策方式。
核心框架就3个：
• 支配权论证（Dominance）
• 逆向归纳法（Backward Induction）
• 主动偏见（Active Bias）

从中提炼出的12个决策铁律，让普通人也能像高手一样思考。
这堂课听完，你看世界的方式都不一样了"
"6","2048166018321698952","https://x.com/430Yang/status/2048166018321698952","杨高能","430Yang","zxx","false","","http://x.com/i/article/2048165255780745216","0","https://t.co/ggY5rXZfuR"
"7","2048362912407035987","https://x.com/WSInsights/status/2048362912407035987","华尔街财经 | WSInsights 【Zenzhe 】","WSInsights","zh","false","","","0","我发现学金融的人搞钱厉害，
靠的不是天赋，
是一套可复制的认知训练系统。

作为带过团队、
投过项目的高级经理人，
我把这套路径拆成四步：
￼
第一步：

整块时间啃硬骨头，建骨架

别刷短视频学理财，
那是碎片麻醉剂。
经典教材永远是地基：

 • 《金融学》（博迪版）：
资金在时间维度上的定价逻辑

 • 《公司理财》（罗斯版）：
资本结构、估值模型、风险管理

 • 《投资学》：
从资产定价到组合管理的完整认知

 • 《计量经济学》：
用数据验证假设，不靠直觉拍脑袋

2026年新书重点关注：
朱民《数据资本大时代》——
数据资产化是未来五年最大的财富重构方向​￼。

￼
第二步：

每天泡信息流，训练敏感度

早上通勤15分钟，
刷财联社、雪球、华尔街见闻、财新网。

重点不是记新闻，
是观察政策→产业→公司→资产价格的传导链。

￼
第三步：

有基础再读研报，别当韭菜——

2026年要用AI工具降维打击
研报不是给小白看的，
是给你验证假设、发现盲区的。

但2026年的玩法变了：
会用AI投研工具的人，
正在对不会用的人形成降维打击。

2026年行业趋势是
从""单智能体""进化到""混合智能体""协作——估值Agent、风控Agent、策略Agent
分工明确、相互校验​￼，
你的投研效率会指数级提升。

￼
第四步：

纪录片补直觉，让知识""活""过来

理论是骨架，资讯是血液，
纪录片则是让你看见人性
如何在金钱面前变形的镜子。

除了《投资是怎样赚钱的》《中国股市记忆》《基金》《货币》，

2026年强推补看：

 • 《华尔街》（央视10集版）：

从荷兰东印度公司讲到2008危机，
理解金融史的周期性​￼

 • 《大空头》：

在市场共识中发现裂缝的实战课

 • 《门口的野蛮人》：

RJR Nabisco杠杆收购战，
看懂资本博弈底层逻辑​￼

￼
高级经理人的三条搞钱心法：

1. 用""甘蔗理论""选赛道：

像刘强东说的，
商业利润像甘蔗，
谁做的环节多谁吃得多​￼。
2026年别只盯着交易环节，
往上游研发、定价、供应链啃——
京东产发IPO后资产管理规模1215亿，
覆盖2710万平方米基础设施，
连续三年出租率超90%​￼，
这就是啃多节甘蔗的回报。

2. 建立反脆弱组合：

2026年全球金融监管全面从严，
防风险仍是核心任务​￼。
永远保留6-12个月生活费现金，

再用""核心-卫星""策略配置。

3. 

把自己当CEO经营：

每年做一次""个人资产负债表""盘点，
你的人力资本（技能、人脉、认知）
才是最大杠杆。

2025年两会提出的""投资于人""​￼，
本质上就是告诉你：
长期主义的复利，
始于对自我的持续注资。

2026年，
能否熟练运用AI辅助分析，
已成为衡量金融专业人士
竞争力的关键指标​￼。

搞钱没有捷径，
但有地图。
现在轮到你啃第一根甘蔗了。

#商业思维 #搞钱认知"
"8","2048382878774632775","https://x.com/longdechen12/status/2048382878774632775","观自","longdechen12","zh","true","","https://github.com/London-Chen/Thank-you-star-chart.git","0","我还在研究如何将其做成网站中，代码放在这了，大家可自行让cc或codex调用或修改。

https://t.co/D9ljiWbKyX"
"9","2039094510006001680","https://x.com/430Yang/status/2039094510006001680","杨高能","430Yang","zxx","false","","http://x.com/i/article/2039087262353571841","0","https://t.co/Zh3pm0VAQn"
"10","2048286838985748759","https://x.com/WSInsights/status/2048286838985748759","华尔街财经 | WSInsights 【Zenzhe 】","WSInsights","zh","false","","","1","马云那堂""买不到的课""，
我记了三句话

前年一哥们神秘兮兮丢给我个网盘链接，
标题特唬人：
湖畔大学马云讲课完整版，
现在花钱都买不到的课。

3小时视频，
画质糊得像上世纪录像带，
我花了两个晚上啃完。

说实话，
老马讲愿景使命价值观那套，
放今天确实有点""老干部""。

但有三段话，
我反复拉进度条听了五遍，
直接抄在办公桌玻璃板底下，
到现在没擦。

第一句：

小公司别学大公司搞KPI，
你的KPI就是活着。

马云说，
团队不到一百人时，
你的核心能力不是管理，
是闻味道——
闻市场在哪，闻钱在哪，
闻你那个合伙人是不是要跑路的味道。

我一做电商代运营的哥们听完，
回去就把""战略部""解散了，
五个人全下放直播间盯单子。
去年利润反而涨了四成。

先让现金流喘口气，
比啥战略都强。

第二句：

融资是春药也是毒药。

阿里早期五十万启动资金，
十八罗汉凑的，
“每分钱都疼，所以花在刀刃上""。

后来资本涌进来，
有人开始琢磨PPT怎么做漂亮，
而不是产品怎么做扎实。

老马给了个狠判断：
当你账上趴着超过十八个月花的钱，
团队创造力就开始腐烂。
我现在见创业者聊估值，
只问一句：
有客户反复续费吗？
没有？纸面富贵。

第三句：

老板最大的悲剧，
是成了公司最忙的人。

马云在阿里前五年，
每天硬留两小时""发呆""——
站在客户角度想，
阿里到底解决了啥问题，
这个需求明年还在不在？

反面教材他也讲了：
某CEO每天干十六小时，
凌晨秒回微信，
全公司夸""老板真拼""。
结果三年后公司垮了，
所有决策堆老板脑子里，
中层全是传声筒，
老板一累，全公司脑梗。

我现在带团队，
硬规矩就一条：
下午四点到六点，
非客户着火不回微信。
用来翻报告、跟离职的人喝咖啡、
或者楼下溜达看外卖骑手怎么取餐。

你别说，真看出过商机。

现在网上搜这堂课，
跳出来一堆卖课的，
九十九到九千九不等。
我看过，
基本都是剪辑拼接配成功学BGM，
跟原片差十万八千里。

但说实话，真把原片放你面前，
大多数人也听不进去——
两小时讲阿里历史讲政策风向，
急着搞钱的人嫌太虚。

可创业这事，
虚的才是实的。
网盘链接早失效了，
玻璃板底下那三句话，我还在用。

￼"
